,country,latitude,longitude
0,Afghanistan,33.93911,67.709953
1,Albania,41.153332,20.168331
2,Algeria,28.033886,1.659626
3,Angola,-11.202692,17.873887
4,Antigua and Barbuda,17.060816,-61.796428
5,Argentina,-38.416097,-63.616672
6,Armenia,40.069099,45.038189
7,Australia,-25.274398,133.775136
8,Austria,47.516231,14.550072
9,Azerbaijan,40.143105,47.576927
10,Bahrain,25.930414,50.637772
11,Bangladesh,23.684994,90.356331
12,Barbados,13.193887,-59.543198
13,Belarus,53.709807,27.953389
14,Belgium,50.503887,4.469936
15,Belize,17.189877,-88.49765
16,Benin,9.30769,2.315834
17,Bhutan,27.514162,90.433601
18,Bosnia and Herzegovina,43.915886,17.679076
19,Botswana,-22.328474,24.684866
20,Brazil,-14.235004,-51.92528
21,Burkina Faso,12.238333,-1.561593
22,Burundi,-3.373056,29.918886
23,Cambodia,12.565679,104.990963
24,Cameroon,7.369722,12.354722
25,Canada,56.130366,-106.346771
26,Central African Republic,6.611111,20.939444
27,Chad,15.454166,18.732207
28,Chile,-35.675147,-71.542969
29,China,35.86166,104.195397
30,Colombia,4.570868,-74.297333
31,Comoros,-11.875001,43.872219
32,Congo ,-4.038333,21.758664
33,Costa Rica,9.748917,-83.753428
34,Croatia,45.1,15.2
35,Cuba,21.521757,-77.781167
36,Cyprus,35.126413,33.429859
37,Czech Republic,49.817492,15.472962
38,Denmark,56.26392,9.501785
39,Djibouti,11.825138,42.590275
40,Dominica,15.414999,-61.370976
41,Dominican Republic,18.735693,-70.162651
42,Ecuador,-1.831239,-78.183406
43,Egypt,26.820553,30.802498
44,El Salvador,13.794185,-88.89653
45,Equatorial Guinea,1.650801,10.267895
46,Eritrea,15.179384,39.782334
47,Estonia,58.595272,25.013607
48,Ethiopia,9.145,40.489673
49,Fiji,-16.578193,179.414413
50,Finland,61.92411,25.748151
51,France,46.227638,2.213749
52,Gabon,-0.803689,11.609444
53,Gambia,13.443182,-15.310139
54,Georgia,42.315407,43.356892
55,Germany,51.165691,10.451526
56,Ghana,7.946527,-1.023194
57,Greece,39.074208,21.824312
58,Grenada,12.262776,-61.604171
59,Guatemala,15.783471,-90.230759
60,Guinea,9.945587,-9.696645
61,Guinea-Bissau,11.803749,-15.180413
62,Guyana,4.860416,-58.93018
63,Haiti,18.971187,-72.285215
64,Honduras,15.199999,-86.241905
65,Hungary,47.162494,19.503304
66,Iceland,64.963051,-19.020835
67,India,20.593684,78.96288
68,Indonesia,-0.789275,113.921327
69,Iraq,33.223191,43.679291
70,Ireland,53.41291,-8.24389
71,Israel,31.046051,34.851612
72,Italy,41.87194,12.56738
73,Jamaica,18.109581,-77.297508
74,Japan,36.204824,138.252924
75,Jordan,30.585164,36.238414
76,Kazakhstan,48.019573,66.923684
77,Kenya,-0.023559,37.906193
78,Kiribati,-3.370417,-168.734039
79,Kuwait,29.31166,47.481766
80,Kyrgyzstan,41.20438,74.766098
81,Latvia,56.879635,24.603189
82,Lesotho,-29.609988,28.233608
83,Liberia,6.428055,-9.429499
84,Lithuania,55.169438,23.881275
85,Luxembourg,49.815273,6.129583
86,Madagascar,-18.766947,46.869107
87,Malawi,-13.254308,34.301525
88,Malaysia,4.210484,101.975766
89,Maldives,3.202778,73.22068
90,Mali,17.570692,-3.996166
91,Malta,35.937496,14.375416
92,Mauritania,21.00789,-10.940835
93,Mauritius,-20.348404,57.552152
94,Mexico,23.634501,-102.552784
95,Mongolia,46.862496,103.846656
96,Montenegro,42.708678,19.37439
97,Morocco,31.791702,-7.09262
98,Mozambique,-18.665695,35.529562
99,Myanmar,21.913965,95.956223
100,Namibia,-22.95764,18.49041
101,Nauru,-0.522778,166.931503
102,Nepal,28.394857,84.124008
103,Netherlands,52.132633,5.291266
104,New Zealand,-40.900557,174.885971
105,Nicaragua,12.865416,-85.207229
106,Niger,17.607789,8.081666
107,Nigeria,9.081999,8.675277
108,North Macedonia ,41.608635,21.745275
109,Norway,60.472024,8.468946
110,Oman,21.512583,55.923255
111,Pakistan,30.375321,69.345116
112,Panama,8.537981,-80.782127
113,Papua New Guinea,-6.314993,143.95555
114,Paraguay,-23.442503,-58.443832
115,Peru,-9.189967,-75.015152
116,Philippines,12.879721,121.774017
117,Poland,51.919438,19.145136
118,Portugal,39.399872,-8.224454
119,Qatar,25.354826,51.183884
120,Romania,45.943161,24.96676
121,Rwanda,-1.940278,29.873888
122,Saint Kitts and Nevis,17.357822,-62.782998
123,Saint Lucia,13.909444,-60.978893
124,Saint Vincent and the Grenadines,12.984305,-61.287228
125,Samoa,-13.759029,-172.104629
126,Sao Tome and Principe,0.18636,6.613081
127,Saudi Arabia,23.885942,45.079162
128,Senegal,14.497401,-14.452362
129,Serbia,44.016521,21.005859
130,Seychelles,-4.679574,55.491977
131,Sierra Leone,8.460555,-11.779889
132,Singapore,1.352083,103.819836
133,Slovakia,48.669026,19.699024
134,Slovenia,46.151241,14.995463
135,Solomon Islands,-9.64571,160.156194
136,Somalia,5.152149,46.199616
137,South Africa,-30.559482,22.937506
138,Spain,40.463667,-3.74922
139,Sri Lanka,7.873054,80.771797
140,Sudan,12.862807,30.217636
141,Suriname,3.919305,-56.027783
142,Sweden,60.128161,18.643501
143,Switzerland,46.818188,8.227512
144,Tajikistan,38.861034,71.276093
145,Thailand,15.870032,100.992541
146,Togo,8.619543,0.824782
147,Tonga,-21.178986,-175.198242
148,Trinidad and Tobago,10.691803,-61.222503
149,Tunisia,33.886917,9.537499
150,Turkey,38.963745,35.243322
151,Turkmenistan,38.969719,59.556278
152,Tuvalu,-7.109535,177.64933
153,Uganda,1.373333,32.290275
154,Ukraine,48.379433,31.16558
155,United Arab Emirates,23.424076,53.847818
156,United Kingdom,55.378051,-3.435973
157,United States,37.09024,-95.712891
158,Uruguay,-32.522779,-55.765835
159,Uzbekistan,41.377491,64.585262
160,Vanuatu,-15.376706,166.959158
161,Yemen,15.552727,48.516388
162,Zambia,-13.133897,27.849332
163,Zimbabwe,-19.015438,29.154857
