latitude,longitude,country
33.93911,67.709953,Afghanistan
41.153332,20.168331,Albania
28.033886,1.659626,Algeria
-11.202692,17.873887,Angola
17.060816,-61.796428,Antigua and Barbuda
-38.416097,-63.616672,Argentina
40.069099,45.038189,Armenia
-25.274398,133.775136,Australia
47.516231,14.550072,Austria
40.143105,47.576927,Azerbaijan
25.930414,50.637772,Bahrain
23.684994,90.356331,Bangladesh
13.193887,-59.543198,Barbados
53.709807,27.953389,Belarus
50.503887,4.469936,Belgium
17.189877,-88.49765,Belize
9.30769,2.315834,Benin
27.514162,90.433601,Bhutan
43.915886,17.679076,Bosnia and Herzegovina
-22.328474,24.684866,Botswana
-14.235004,-51.92528,Brazil
12.238333,-1.561593,Burkina Faso
-3.373056,29.918886,Burundi
12.565679,104.990963,Cambodia
7.369722,12.354722,Cameroon
56.130366,-106.346771,Canada
6.611111,20.939444,Central African Republic
15.454166,18.732207,Chad
-35.675147,-71.542969,Chile
35.86166,104.195397,China
4.570868,-74.297333,Colombia
-11.875001,43.872219,Comoros
-4.038333,21.758664,Congo 
9.748917,-83.753428,Costa Rica
45.1,15.2,Croatia
21.521757,-77.781167,Cuba
35.126413,33.429859,Cyprus
49.817492,15.472962,Czech Republic
56.26392,9.501785,Denmark
11.825138,42.590275,Djibouti
15.414999,-61.370976,Dominica
18.735693,-70.162651,Dominican Republic
-1.831239,-78.183406,Ecuador
26.820553,30.802498,Egypt
13.794185,-88.89653,El Salvador
1.650801,10.267895,Equatorial Guinea
15.179384,39.782334,Eritrea
58.595272,25.013607,Estonia
9.145,40.489673,Ethiopia
-16.578193,179.414413,Fiji
61.92411,25.748151,Finland
46.227638,2.213749,France
-0.803689,11.609444,Gabon
13.443182,-15.310139,Gambia
42.315407,43.356892,Georgia
51.165691,10.451526,Germany
7.946527,-1.023194,Ghana
39.074208,21.824312,Greece
12.262776,-61.604171,Grenada
15.783471,-90.230759,Guatemala
9.945587,-9.696645,Guinea
11.803749,-15.180413,Guinea-Bissau
4.860416,-58.93018,Guyana
18.971187,-72.285215,Haiti
15.199999,-86.241905,Honduras
47.162494,19.503304,Hungary
64.963051,-19.020835,Iceland
20.593684,78.96288,India
-0.789275,113.921327,Indonesia
33.223191,43.679291,Iraq
53.41291,-8.24389,Ireland
31.046051,34.851612,Israel
41.87194,12.56738,Italy
18.109581,-77.297508,Jamaica
36.204824,138.252924,Japan
30.585164,36.238414,Jordan
48.019573,66.923684,Kazakhstan
-0.023559,37.906193,Kenya
-3.370417,-168.734039,Kiribati
29.31166,47.481766,Kuwait
41.20438,74.766098,Kyrgyzstan
56.879635,24.603189,Latvia
-29.609988,28.233608,Lesotho
6.428055,-9.429499,Liberia
55.169438,23.881275,Lithuania
49.815273,6.129583,Luxembourg
-18.766947,46.869107,Madagascar
-13.254308,34.301525,Malawi
4.210484,101.975766,Malaysia
3.202778,73.22068,Maldives
17.570692,-3.996166,Mali
35.937496,14.375416,Malta
21.00789,-10.940835,Mauritania
-20.348404,57.552152,Mauritius
23.634501,-102.552784,Mexico
46.862496,103.846656,Mongolia
42.708678,19.37439,Montenegro
31.791702,-7.09262,Morocco
-18.665695,35.529562,Mozambique
21.913965,95.956223,Myanmar
-22.95764,18.49041,Namibia
-0.522778,166.931503,Nauru
28.394857,84.124008,Nepal
52.132633,5.291266,Netherlands
-40.900557,174.885971,New Zealand
12.865416,-85.207229,Nicaragua
17.607789,8.081666,Niger
9.081999,8.675277,Nigeria
41.608635,21.745275,North Macedonia 
60.472024,8.468946,Norway
21.512583,55.923255,Oman
30.375321,69.345116,Pakistan
8.537981,-80.782127,Panama
-6.314993,143.95555,Papua New Guinea
-23.442503,-58.443832,Paraguay
-9.189967,-75.015152,Peru
12.879721,121.774017,Philippines
51.919438,19.145136,Poland
39.399872,-8.224454,Portugal
25.354826,51.183884,Qatar
45.943161,24.96676,Romania
-1.940278,29.873888,Rwanda
17.357822,-62.782998,Saint Kitts and Nevis
13.909444,-60.978893,Saint Lucia
12.984305,-61.287228,Saint Vincent and the Grenadines
-13.759029,-172.104629,Samoa
0.18636,6.613081,Sao Tome and Principe
23.885942,45.079162,Saudi Arabia
14.497401,-14.452362,Senegal
44.016521,21.005859,Serbia
-4.679574,55.491977,Seychelles
8.460555,-11.779889,Sierra Leone
1.352083,103.819836,Singapore
48.669026,19.699024,Slovakia
46.151241,14.995463,Slovenia
-9.64571,160.156194,Solomon Islands
5.152149,46.199616,Somalia
-30.559482,22.937506,South Africa
40.463667,-3.74922,Spain
7.873054,80.771797,Sri Lanka
12.862807,30.217636,Sudan
3.919305,-56.027783,Suriname
60.128161,18.643501,Sweden
46.818188,8.227512,Switzerland
38.861034,71.276093,Tajikistan
15.870032,100.992541,Thailand
8.619543,0.824782,Togo
-21.178986,-175.198242,Tonga
10.691803,-61.222503,Trinidad and Tobago
33.886917,9.537499,Tunisia
38.963745,35.243322,Turkey
38.969719,59.556278,Turkmenistan
-7.109535,177.64933,Tuvalu
1.373333,32.290275,Uganda
48.379433,31.16558,Ukraine
23.424076,53.847818,United Arab Emirates
55.378051,-3.435973,United Kingdom
37.09024,-95.712891,United States
-32.522779,-55.765835,Uruguay
41.377491,64.585262,Uzbekistan
-15.376706,166.959158,Vanuatu
15.552727,48.516388,Yemen
-13.133897,27.849332,Zambia
-19.015438,29.154857,Zimbabwe
